gen,tick,subject_health,opponent_health
0,1,100.0,100.0
0,2,100.0,100.0
0,3,100.0,100.0
0,4,100.0,100.0
0,5,100.0,100.0
0,6,100.0,100.0
0,7,100.0,100.0
0,8,100.0,100.0
0,9,100.0,100.0
0,10,100.0,100.0
0,11,100.0,100.0
0,12,100.0,100.0
0,13,100.0,100.0
0,14,100.0,100.0
0,15,100.0,100.0
0,16,100.0,100.0
0,17,100.0,100.0
0,18,100.0,100.0
0,19,100.0,100.0
0,20,100.0,100.0
0,21,100.0,100.0
0,22,100.0,100.0
0,23,100.0,100.0
0,24,100.0,100.0
0,25,100.0,100.0
0,26,100.0,100.0
0,27,100.0,100.0
0,28,100.0,100.0
0,29,100.0,100.0
0,30,100.0,100.0
0,31,100.0,100.0
0,32,100.0,100.0
0,33,100.0,100.0
0,34,100.0,100.0
0,35,100.0,100.0
0,36,100.0,100.0
0,37,100.0,100.0
0,38,100.0,100.0
0,39,100.0,100.0
0,40,100.0,100.0
0,41,100.0,100.0
0,42,100.0,100.0
0,43,100.0,100.0
0,44,100.0,100.0
0,45,100.0,100.0
0,46,100.0,100.0
0,47,100.0,100.0
0,48,100.0,100.0
0,49,100.0,100.0
0,50,100.0,100.0
0,51,99.0,99.0
0,52,98.0,98.0
0,53,97.0,97.0
0,54,96.0,96.0
0,55,95.0,95.0
0,56,94.0,94.0
0,57,93.0,93.0
0,58,92.0,92.0
0,59,91.0,91.0
0,60,90.0,90.0
0,61,89.0,89.0
0,62,88.0,88.0
0,63,87.0,87.0
0,64,86.0,86.0
0,65,85.0,85.0
0,66,84.0,84.0
0,67,83.0,83.0
0,68,82.0,82.0
0,69,81.0,81.0
0,70,80.0,80.0
0,71,79.0,79.0
0,72,78.0,78.0
0,73,77.0,77.0
0,74,76.0,76.0
0,75,75.0,75.0
0,76,74.0,74.0
0,77,73.0,73.0
0,78,72.0,72.0
0,79,71.0,71.0
0,80,70.0,70.0
0,81,69.0,69.0
0,82,68.0,68.0
0,83,67.0,67.0
0,84,66.0,66.0
0,85,65.0,65.0
0,86,64.0,64.0
0,87,63.0,64.0
0,88,62.0,64.0
0,89,61.0,64.0
0,90,60.0,64.0
0,91,59.0,64.0
0,92,58.0,64.0
0,93,57.0,64.0
0,94,56.0,64.0
0,95,55.0,64.0
0,96,54.0,64.0
0,97,53.0,64.0
0,98,52.0,64.0
0,99,51.0,64.0
0,100,50.0,64.0
0,101,49.0,64.0
0,102,48.0,64.0
0,103,47.0,64.0
0,104,46.0,64.0
0,105,45.0,64.0
0,106,44.0,64.0
0,107,43.0,64.0
0,108,42.0,64.0
0,109,41.0,64.0
0,110,40.0,64.0
0,111,39.0,64.0
0,112,38.0,64.0
0,113,37.0,64.0
0,114,36.0,64.0
0,115,35.0,64.0
0,116,34.0,64.0
0,117,33.0,64.0
0,118,32.0,64.0
0,119,31.0,64.0
0,120,30.0,64.0
0,121,29.0,64.0
0,122,28.0,64.0
0,123,27.0,64.0
0,124,26.0,64.0
0,125,25.0,64.0
0,126,25.0,64.0
0,127,25.0,64.0
0,128,25.0,64.0
0,129,25.0,64.0
0,130,25.0,64.0
0,131,25.0,64.0
0,132,25.0,64.0
0,133,25.0,64.0
0,134,25.0,64.0
0,135,25.0,64.0
0,136,25.0,64.0
0,137,25.0,64.0
0,138,25.0,64.0
0,139,25.0,64.0
0,140,25.0,64.0
0,141,25.0,64.0
0,142,25.0,64.0
0,143,25.0,64.0
0,144,25.0,64.0
0,145,25.0,64.0
0,146,25.0,64.0
0,147,25.0,64.0
0,148,25.0,64.0
0,149,25.0,64.0
0,150,25.0,64.0
0,151,25.0,64.0
0,152,25.0,64.0
0,153,25.0,64.0
0,154,25.0,64.0
0,155,25.0,64.0
0,156,25.0,64.0
0,157,25.0,64.0
0,158,25.0,64.0
0,159,25.0,64.0
0,160,25.0,64.0
0,161,25.0,64.0
0,162,25.0,64.0
0,163,25.0,64.0
0,164,25.0,64.0
0,165,25.0,64.0
0,166,25.0,64.0
0,167,25.0,64.0
0,168,25.0,64.0
0,169,25.0,64.0
0,170,25.0,64.0
0,171,25.0,64.0
0,172,25.0,64.0
0,173,25.0,64.0
0,174,25.0,64.0
0,175,25.0,64.0
0,176,25.0,64.0
0,177,25.0,64.0
0,178,25.0,64.0
0,179,25.0,64.0
0,180,25.0,64.0
0,181,25.0,64.0
0,182,25.0,64.0
0,183,25.0,64.0
0,184,25.0,64.0
0,185,25.0,64.0
0,186,25.0,64.0
0,187,25.0,64.0
0,188,25.0,64.0
0,189,25.0,64.0
0,190,25.0,64.0
0,191,25.0,64.0
0,192,25.0,64.0
0,193,25.0,64.0
0,194,25.0,64.0
0,195,25.0,64.0
0,196,25.0,64.0
0,197,25.0,64.0
0,198,25.0,64.0
0,199,25.0,64.0
0,200,25.0,64.0
1,1,100.0,100.0
1,2,100.0,100.0
1,3,100.0,100.0
1,4,100.0,100.0
1,5,100.0,100.0
1,6,100.0,100.0
1,7,100.0,100.0
1,8,100.0,100.0
1,9,100.0,100.0
1,10,100.0,100.0
1,11,100.0,100.0
1,12,100.0,100.0
1,13,100.0,100.0
1,14,100.0,100.0
1,15,100.0,100.0
1,16,100.0,100.0
1,17,100.0,100.0
1,18,100.0,100.0
1,19,100.0,100.0
1,20,100.0,100.0
1,21,100.0,100.0
1,22,100.0,100.0
1,23,100.0,100.0
1,24,100.0,100.0
1,25,100.0,100.0
1,26,100.0,100.0
1,27,100.0,100.0
1,28,100.0,100.0
1,29,100.0,100.0
1,30,100.0,100.0
1,31,100.0,100.0
1,32,100.0,100.0
1,33,100.0,100.0
1,34,100.0,100.0
1,35,100.0,100.0
1,36,100.0,100.0
1,37,100.0,100.0
1,38,100.0,100.0
1,39,100.0,100.0
1,40,100.0,100.0
1,41,100.0,100.0
1,42,100.0,100.0
1,43,100.0,100.0
1,44,100.0,100.0
1,45,100.0,100.0
1,46,100.0,100.0
1,47,100.0,100.0
1,48,100.0,100.0
1,49,100.0,100.0
1,50,100.0,100.0
1,51,99.0,99.0
1,52,98.0,98.0
1,53,97.0,97.0
1,54,96.0,96.0
1,55,95.0,95.0
1,56,94.0,94.0
1,57,93.0,93.0
1,58,92.0,92.0
1,59,91.0,91.0
1,60,90.0,90.0
1,61,89.0,89.0
1,62,88.0,88.0
1,63,87.0,87.0
1,64,86.0,86.0
1,65,85.0,85.0
1,66,84.0,84.0
1,67,83.0,83.0
1,68,82.0,82.0
1,69,81.0,81.0
1,70,80.0,80.0
1,71,79.0,79.0
1,72,78.0,78.0
1,73,77.0,77.0
1,74,76.0,76.0
1,75,75.0,75.0
1,76,74.0,74.0
1,77,73.0,73.0
1,78,72.0,72.0
1,79,71.0,71.0
1,80,70.0,70.0
1,81,69.0,69.0
1,82,68.0,68.0
1,83,67.0,67.0
1,84,66.0,66.0
1,85,65.0,65.0
1,86,64.0,64.0
1,87,63.0,63.0
